23784.740 0.04 0 1 0 1 2 f  0 1 0 1 1 f  67MoMa.5
35676.980 0.06 0 1 0 1 3 f  0 1 0 1 2 f  67MoMa.9

4. component
1027.58369 0.00008 0 2 0 0 47 e  0 0 0 0 48 e  90ToHoAl.40
1066.06357 0.00008 0 2 0 0 49 e  0 0 0 0 48 e  90ToHoAl.78
539.62281 0.001 0 1 0 1 49 e  0 0 0 0 48 e  85JoHoKaMa.59
1705.2033 0.0037 2 0 0 0 49 e  0 0 0 0 48 e  80MaOlSa.52

12. component
107027.908 0.05 0 1 0 1 9 f  0 1 0 1 8 f  84TaItTa.8
118918.930 0.05 0 1 0 1 10 f  0 1 0 1 9 f  84TaItTa.10
130803.671 0.05 0 1 0 1 11 f  0 1 0 1 10 f  84TaItTa.12
25355942 0.020 1 1 0 1 12 f  0 1 0 1 11 f  83WePeMa.12

5. component
1026.26162 0.00008 0 2 0 0 51 e  0 0 0 0 52 e  90ToHoAl.41
1067.90956 0.00008 0 2 0 0 53 e  0 0 0 0 52 e  90ToHoAl.80
1706.2897 0.0037 2 0 0 0 53 e  0 0 0 0 52 e  80MaOlSa.55

7. component
1024.96390 0.00008 0 2 0 0 55 e  0 0 0 0 56 e  90ToHoAl.43
1068.84085 0.00008 0 2 0 0 55 e  0 0 0 0 54 e  90ToHoAl.82
1069.77812 0.00008 0 2 0 0 57 e  0 0 0 0 56 e  90ToHoAl.83

43. component
62396400.3 10.0 0 0 1 0 62 e  0 0 0 0 61 e  90WeScMa.8
869.92319 0.00080 1 0 0 0 62 e  0 0 0 0 61 e  81WePeMa.33
1708.5806 0.0037 2 0 0 0 62 e  0 0 0 0 61 e  80MaOlSa.58

10. component
1070.72100 0.00008 0 2 0 0 59 e  0 0 0 0 58 e  90ToHoAl.85
868.95898 0.00107 1 0 0 0 59 e  0 0 0 0 58 e  81WePeMa.30
1707.8386 0.0037 2 0 0 0 59 e  0 0 0 0 58 e  80MaOlSa.57

13. component
107156.830 0.05 0 2 0 2 9 e  0 2 0 2 8 e  84TaItTa.17
119061.995 0.05 0 2 0 2 10 e  0 2 0 2 9 e  84TaItTa.20
130966.805 0.05 0 2 0 2 11 e  0 2 0 2 10 e  84TaItTa.23

14. component
107157.476 0.05 0 2 0 2 9 f  0 2 0 2 8 f  84TaItTa.18
119062.876 0.05 0 2 0 2 10 f  0 2 0 2 9 f  84TaItTa.21
130967.973 0.05 0 2 0 2 11 f  0 2 0 2 10 f  84TaItTa.24

15. component
47629.361 0.05 0 3 0 1 4 e  0 3 0 1 3 e  84TaItTa.25
59536.502 0.05 0 3 0 1 5 e  0 3 0 1 4 e  84TaItTa.27
71443.477 0.05 0 3 0 1 6 e  0 3 0 1 5 e  84TaItTa.29

16. component
47724.101 0.05 0 3 0 1 4 f  0 3 0 1 3 f  84TaItTa.26
59654.913 0.05 0 3 0 1 5 f  0 3 0 1 4 f  84TaItTa.28
71585.613 0.05 0 3 0 1 6 f  0 3 0 1 5 f  84TaItTa.30

17. component
107163.316 0.05 0 3 0 1 9 e  0 3 0 1 8 e  84TaItTa.31
119069.444 0.05 0 3 0 1 10 e  0 3 0 1 9 e  84TaItTa.33
130975.283 0.05 0 3 0 1 11 e  0 3 0 1 10 e  84TaItTa.35

18. component
107376.488 0.05 0 3 0 1 9 f  0 3 0 1 8 f  84TaItTa.32
119306.312 0.05 0 3 0 1 10 f  0 3 0 1 9 f  84TaItTa.34
131235.816 0.05 0 3 0 1 11 f  0 3 0 1 10 f  84TaItTa.36

8. component
1066.52276 0.00008 0 2 0 0 50 e  0 0 0 0 49 e  90ToHoAl.79
1705.4789 0.0037 2 0 0 0 50 e  0 0 0 0 49 e  80MaOlSa.53

42. component
58973.390 0.030 0 0 1 0 5 e  0 0 1 0 4 e  80BoBa.1
70767.755 0.030 0 0 1 0 6 e  0 0 1 0 5 e  80BoBa.2

21. component
866.35439 0.00017 1 0 0 0 51 e  0 0 0 0 50 e  81WePeMa.3
1705.7503 0.0037 2 0 0 0 51 e  0 0 0 0 50 e  80MaOlSa.54

20. component
870.58088 0.00007 1 0 0 0 64 e  0 0 0 0 63 e  81WePeMa.2

22. component
25131884 0.035 1 1 0 1 6 e  0 1 0 1 7 e  83WePeMa.5

23. component
25131809 0.035 1 1 0 1 6 f  0 1 0 1 7 f  83WePeMa.11

24. component
25367448 0.060 1 1 0 1 13 f  0 1 0 1 12 f  83WePeMa.13

25. component
25435573 0.020 1 1 0 1 19 f  0 1 0 1 18 f  83WePeMa.14

26. component
25446804 0.072 1 1 0 1 20 f  0 1 0 1 19 f  83WePeMa.15

27. component
25458010 0.030 1 1 0 1 21 f  0 1 0 1 20 f  83WePeMa.16

28. component
25480338 0.030 1 1 0 1 23 f  0 1 0 1 22 f  83WePeMa.17

29. component
25546484 0.060 1 1 0 1 29 f  0 1 0 1 28 f  83WePeMa.18

30. component
25557418 0.040 1 1 0 1 30 f  0 1 0 1 29 f  83WePeMa.19

31. component
25600738 0.030 1 1 0 1 34 f  0 1 0 1 33 f  83WePeMa.20

32. component
25809130 0.050 1 1 0 1 54 f  0 1 0 1 53 f  83WePeMa.21

33. component
791107.050 0.200 0 0 1 0 67 e  0 0 1 0 66 e  89VaJeWe.1

34. component
805302.973 0.200 0 0 0 0 68 e  0 0 0 0 67 e  89VaJeWe.2

35. component
807763.668 0.200 0 2 0 2 68 e  0 2 0 2 67 e  89VaJeWe.3

36. component
808049.576 0.200 0 2 0 2 68 f  0 2 0 2 67 f  89VaJeWe.4

37. component
808062.907 0.200 0 2 0 0 68 e  0 2 0 0 67 e  89VaJeWe.5

38. component
818081.708 0.200 0 1 0 1 69 e  0 1 0 1 68 e  89VaJeWe.6

39. component
818914.201 0.200 0 1 0 1 69 f  0 1 0 1 68 f  89VaJeWe.7

40. component
23589.520 0.08 0 0 1 0 2 e  0 0 1 0 1 e  67MoMa.2

41. component
35720.270 0.06 0 2 0 2 3 e  0 2 0 2 2 e  67MoMa.11

19. component
878.35590 0.00013 1 0 0 0 90 e  0 0 0 0 89 e  81WePeMa.1

9. component
1070.24926 0.00008 0 2 0 0 58 e  0 0 0 0 57 e  90ToHoAl.84

44. component
866.66590 0.00133 1 0 0 0 52 e  0 0 0 0 51 e  81WePeMa.29

45. component
869.28131 0.00147 1 0 0 0 60 e  0 0 0 0 59 e  81WePeMa.31

46. component
869.60280 0.00120 1 0 0 0 61 e  0 0 0 0 60 e  81WePeMa.32

47. component
30983698.0 2.0 0 3 0 1 47 f  0 1 0 1 48 f  79WePeMa.2

