0 0 0 0 0 e 	0.000000000	0.000000000	34
0 0 0 0 1 e 	0.405713308	0.000000067	87
0 0 0 0 2 e 	1.217138857	0.000000133	111
0 0 0 0 3 e 	2.434274617	0.000000160	108
0 0 0 0 4 e 	4.057117431	0.000000294	124
0 0 0 0 5 e 	6.085662625	0.000000627	132
0 0 0 0 6 e 	8.519905968	0.000001961	121
0 0 0 0 7 e 	11.359840812	0.000001997	127
0 0 0 0 8 e 	14.605459773	0.000002015	135
0 0 0 0 9 e 	18.256754559	0.000002026	142
0 0 0 0 10 e 	22.313715763	0.000002038	142
0 0 0 0 11 e 	26.776332969	0.000002048	139
0 0 0 0 12 e 	31.644594722	0.000002055	146
0 0 0 0 13 e 	36.918488578	0.000003389	144
0 0 0 0 14 e 	42.598000869	0.000003400	141
0 0 0 0 15 e 	48.683117081	0.000003414	149
0 0 0 0 16 e 	55.173821560	0.000003427	149
0 0 0 0 17 e 	62.070097657	0.000003437	138
0 0 0 0 18 e 	69.371927631	0.000003490	141
0 0 0 0 19 e 	77.079292763	0.000003517	145
0 0 0 0 20 e 	85.192173234	0.000003539	146
0 0 0 0 21 e 	93.710548206	0.000003573	138
0 0 0 0 22 e 	102.634395797	0.000003608	145
0 0 0 0 23 e 	111.963693090	0.000003647	137
0 0 0 0 24 e 	121.698416087	0.000003701	143
0 0 0 0 25 e 	131.838539838	0.000003722	129
0 0 0 0 26 e 	142.384038240	0.000003771	125
0 0 0 0 27 e 	153.334884197	0.000003834	123
0 0 0 0 28 e 	164.691049592	0.000003889	124
0 0 0 0 29 e 	176.452505252	0.000003915	121
0 0 0 0 30 e 	188.619220940	0.000003946	123
0 0 0 0 31 e 	201.191165387	0.000003986	121
0 0 0 0 32 e 	214.168306313	0.000003993	114
0 0 0 0 33 e 	227.550610314	0.000004001	126
0 0 0 0 34 e 	241.338043032	0.000004008	112
0 0 0 0 35 e 	255.530569013	0.000004023	109
0 0 0 0 36 e 	270.128151789	0.000004070	108
0 0 0 0 37 e 	285.130753809	0.000004079	106
0 0 0 0 38 e 	300.538336558	0.000004105	106
0 0 0 0 39 e 	316.350860351	0.000004118	116
0 0 0 0 40 e 	332.568284603	0.000004134	94
0 0 0 0 41 e 	349.190567609	0.000004170	102
0 0 0 0 42 e 	366.217666627	0.000004242	91
0 0 0 0 43 e 	383.649537824	0.000004320	94
0 0 0 0 44 e 	401.486140679	0.000072242	75
0 0 0 0 45 e 	419.727420442	0.000074244	75
0 0 0 0 46 e 	438.373345401	0.000117256	78
0 0 0 0 47 e 	457.423847146	0.000119257	77
0 0 0 0 48 e 	476.878887034	0.000121259	86
0 0 0 0 49 e 	496.738414077	0.000123260	70
0 0 0 0 50 e 	517.002377146	0.000125262	72
0 1 0 1 1 e 	520.828323232	0.000015095	26
0 1 0 1 1 f 	520.828747622	0.000015088	21
0 1 0 1 2 e 	521.640736914	0.000011122	42
0 1 0 1 2 f 	521.642010074	0.000011115	33
0 1 0 1 3 e 	522.859355135	0.000011095	41
0 1 0 1 3 f 	522.861901440	0.000011088	33
0 1 0 1 4 e 	524.484174365	0.000009094	42
0 1 0 1 4 f 	524.488418184	0.000009087	30
0 1 0 1 5 e 	526.515191169	0.000009762	40
0 1 0 1 5 f 	526.521556856	0.000009756	26
0 1 0 1 6 e 	528.952398984	0.000005094	43
0 1 0 1 6 f 	528.961310878	0.000005087	30
0 1 0 1 7 e 	531.795792300	0.000005822	45
0 1 0 1 7 f 	531.807674712	0.000005756	35
0 1 0 1 8 e 	535.045363313	0.000006471	56
0 1 0 1 8 f 	535.060640536	0.000006457	38
0 0 0 0 51 e 	537.670747042	0.000203260	70
0 1 0 1 9 e 	538.701103652	0.000006488	47
0 1 0 1 9 f 	538.720199945	0.000006475	37
0 1 0 1 10 e 	542.763004196	0.000005856	47
0 1 0 1 10 f 	542.786343794	0.000005842	37
0 1 0 1 11 e 	547.231054196	0.000006632	48
0 1 0 1 11 f 	547.259061309	0.000006498	40
0 1 0 1 12 e 	552.105241452	0.000006515	59
0 1 0 1 12 f 	552.138340217	0.000006508	45
0 1 0 1 13 e 	557.385553479	0.000010632	46
0 1 0 1 13 f 	557.424168212	0.000006515	39
0 0 0 0 52 e 	558.743434479	0.000205262	69
0 1 0 1 14 e 	563.071977442	0.000009849	48
0 1 0 1 14 f 	563.116531782	0.000007515	38
0 1 0 1 15 e 	569.164497603	0.000014632	47
0 1 0 1 15 f 	569.215416550	0.000007860	43
0 1 0 1 16 e 	575.663098347	0.000013849	46
0 1 0 1 16 f 	575.720804678	0.000007874	40
0 0 0 0 53 e 	580.220370969	0.000283260	65
0 1 0 1 17 e 	582.567762851	0.000017414	53
0 1 0 1 17 f 	582.632681074	0.000007285	40
0 1 0 1 18 e 	589.878473271	0.000016825	50
0 1 0 1 18 f 	589.951026743	0.000007897	43
0 1 0 1 19 e 	597.595211224	0.000017437	52
0 1 0 1 19 f 	597.675822532	0.000010619	48
0 0 0 0 54 e 	602.101549088	0.000285262	70
0 1 0 1 20 e 	605.717950686	0.000020825	54
0 1 0 1 20 f 	605.807049810	0.000011897	44
0 1 0 1 21 e 	614.246682277	0.000020771	51
0 1 0 1 21 f 	614.344684960	0.000014619	42
0 1 0 1 22 e 	623.181372267	0.000024825	47
0 1 0 1 22 f 	623.288707952	0.000015173	37
0 0 0 0 55 e 	624.386891545	0.000287263	65
0 1 0 1 23 e 	632.522005555	0.000023541	42
0 1 0 1 23 f 	632.639093297	0.000015208	37
0 1 0 1 24 e 	642.268552955	0.000025543	47
0 1 0 1 24 f 	642.395819184	0.000015247	41
0 0 0 0 56 e 	647.076342057	0.000289264	58
0 1 0 1 25 e 	652.420991485	0.000019541	50
0 1 0 1 25 f 	652.558857516	0.000019208	41
0 1 0 1 26 e 	662.979293684	0.000021543	45
0 1 0 1 26 f 	663.128184849	0.000019247	35
0 0 0 0 57 e 	670.170096464	0.000367263	57
0 1 0 1 27 e 	673.943432970	0.000023541	45
0 1 0 1 27 f 	674.103770368	0.000015371	35
0 1 0 1 28 e 	685.313378227	0.000021946	47
0 1 0 1 28 f 	685.485587445	0.000018920	38
0 0 0 0 58 e 	693.667586919	0.000369264	60
0 1 0 1 29 e 	697.089104641	0.000021320	36
0 1 0 1 29 f 	697.273605659	0.000018706	36
0 1 0 1 30 e 	709.270574849	0.000017946	39
0 1 0 1 30 f 	709.467793867	0.000014920	31
0 0 0 0 59 e 	717.569007317	0.000371266	46
0 1 0 1 31 e 	721.857765856	0.000017986	34
0 1 0 1 31 f 	722.068122197	0.000022706	31
0 1 0 1 32 e 	734.850634164	0.000017342	35
0 1 0 1 32 f 	735.074554053	0.000018920	31
0 0 0 0 60 e 	741.874294897	0.000447456	49
0 1 0 1 33 e 	748.249158614	0.000021986	33
0 1 0 1 33 f 	748.487060645	0.000023670	31
0 1 0 1 34 e 	762.053289737	0.000018008	37
0 1 0 1 34 f 	762.305601305	0.000022255	33
0 0 0 0 61 e 	766.583394856	0.000447583	53
0 1 0 1 35 e 	776.263008376	0.000018023	39
0 1 0 1 35 f 	776.530146035	0.000019670	28
0 1 0 1 36 e 	790.878259090	0.000021342	39
0 1 0 1 36 f 	791.160650022	0.000024678	32
0 0 0 0 62 e 	791.696229575	0.000447730	41
0 1 0 1 37 e 	805.899021068	0.000019006	38
0 1 0 1 37 f 	806.197084782	0.000015670	29
0 0 0 0 63 e 	817.212756525	0.000447850	42
0 1 0 1 38 e 	821.325241488	0.000024105	37
0 1 0 1 38 f 	821.639400147	0.000027440	31
0 1 0 1 39 e 	837.156891713	0.000023006	40
0 1 0 1 39 f 	837.487566693	0.000019670	30
0 0 0 0 64 e 	843.132851307	0.000447943	40
0 1 0 1 40 e 	853.393918103	0.000020105	34
0 1 0 1 40 f 	853.741533717	0.000023440	26
1 0 0 0 0 e 	858.966915051	0.000086793	4
1 0 0 0 1 e 	859.371418456	0.000086727	19
1 0 0 0 2 e 	860.180424365	0.000086793	16
1 0 0 0 3 e 	861.393930610	0.000086860	13
1 0 0 0 4 e 	863.011931796	0.000086887	19
1 0 0 0 5 e 	865.034430702	0.000087020	17
1 0 0 0 6 e 	867.461413811	0.000087354	16
0 0 0 0 65 e 	869.456518255	0.000461286	47
0 1 0 1 41 e 	870.036288394	0.000543006	33
1 0 0 0 7 e 	870.292878905	0.000088354	11
0 1 0 1 41 f 	870.401264460	0.000539670	29
1 0 0 0 8 e 	873.528817450	0.000088724	13
1 0 0 0 9 e 	877.169222030	0.000088741	15
1 0 0 0 10 e 	881.214081356	0.000088753	21
1 0 0 0 11 e 	885.663385713	0.000088765	23
0 1 0 1 42 e 	887.083937277	0.000044242	34
0 1 0 1 42 f 	887.466697332	0.000047578	28
1 0 0 0 12 e 	890.517123744	0.000088775	19
1 0 0 0 13 e 	895.775282508	0.000088781	22
0 0 0 0 66 e 	896.183667660	0.000463287	44
1 0 0 0 14 e 	901.437848209	0.000089782	18
0 1 0 1 43 e 	904.536873689	0.000056320	26
0 1 0 1 43 f 	904.937835261	0.000059656	26
1 0 0 0 15 e 	907.504805305	0.000090127	21
1 0 0 0 16 e 	913.976137582	0.000083469	14
1 0 0 0 17 e 	920.851833276	0.000083482	17
0 1 0 1 44 e 	922.395000774	0.000057256	35
0 1 0 1 44 f 	922.814588352	0.000053920	24
0 0 0 0 67 e 	923.314226870	0.000465289	40
1 0 0 0 18 e 	928.131864513	0.000083492	20
1 0 0 0 19 e 	935.816218020	0.000083546	17
0 1 0 1 45 e 	940.658280207	0.000064320	35
0 1 0 1 45 f 	941.096915742	0.000067656	19
1 0 0 0 20 e 	943.904866338	0.000436992	26
0 0 0 0 68 e 	950.848121295	0.000543287	36
1 0 0 0 21 e 	952.397947810	0.000437026	19
0 1 0 1 46 e 	959.326676471	0.000097256	29
0 1 0 1 46 f 	959.784776579	0.000100592	25
1 0 0 0 22 e 	961.294997802	0.000083629	11
1 0 0 0 23 e 	970.596422403	0.000083663	18
0 1 0 1 47 e 	978.400175177	0.000170192	30
0 0 0 0 69 e 	978.785285723	0.000718797	33
0 1 0 1 47 f 	978.878162693	0.000166856	18
1 0 0 0 24 e 	980.302059302	0.000083703	15
1 0 0 0 25 e 	990.411885566	0.000083827	17
0 1 0 1 48 e 	997.878641622	0.000617256	34
0 1 0 1 48 f 	998.376939762	0.000620592	29
1 0 0 0 26 e 	1000.925859068	0.000083889	19
0 0 0 0 70 e 	1007.125644957	0.000796796	30
1 0 0 0 27 e 	1011.843979619	0.000083944	15
0 1 0 1 49 e 	1017.762089529	0.000174194	34
0 1 0 1 49 f 	1018.281114786	0.000170859	24
1 0 0 0 28 e 	1023.166176365	0.000083970	18
1 0 0 0 29 e 	1034.892457436	0.000083944	18
0 0 0 0 71 e 	1035.869125629	0.001212472	33
0 1 0 1 50 e 	1038.050466317	0.001137256	34
0 1 0 1 50 f 	1038.590640114	0.001140592	18
0 2 0 2 2 e 	1042.379512425	0.013216990	5
0 2 0 2 2 f 	1042.379515154	0.013216983	4
0 2 0 2 3 e 	1043.600866197	0.013216857	9
0 2 0 2 3 f 	1043.600868927	0.013216850	8
0 2 0 2 4 e 	1045.229330054	0.013213521	10
0 2 0 2 4 f 	1045.229332782	0.013213514	9
1 0 0 0 30 e 	1047.022777015	0.000083970	13
0 2 0 0 0 e 	1047.042051193	0.000002067	7
0 2 0 2 5 e 	1047.264902944	0.013210185	6
0 2 0 2 5 f 	1047.264909311	0.013210179	5
0 2 0 0 1 e 	1047.449011992	0.000002000	21
0 2 0 0 2 e 	1048.262932093	0.000002067	19
0 2 0 0 3 f 	1049.084854184	0.000021087	1
0 2 0 0 3 e 	1049.483810566	0.000001628	22
0 2 0 2 6 e 	1049.709910805	0.013206850	8
0 2 0 2 6 f 	1049.709923537	0.013206843	8
0 2 0 0 4 f 	1050.715572856	0.000021756	1
0 2 0 0 4 e 	1051.111644852	0.000002160	22
0 2 0 2 7 e 	1052.559677028	0.013205849	6
0 2 0 2 7 f 	1052.559699944	0.013205842	4
0 2 0 0 5 e 	1053.146431527	0.000002294	19
0 2 0 0 6 e 	1055.588165017	0.000002627	22
0 2 0 2 8 e 	1055.839089510	0.010005822	10
0 2 0 2 8 f 	1055.839127710	0.010005829	7
0 2 0 0 7 e 	1058.436841434	0.000003296	19
0 1 0 1 51 e 	1058.743674285	0.001374194	26
0 1 0 1 51 f 	1059.305437219	0.001454862	20
0 2 0 2 9 e 	1059.503013879	0.010005849	14
0 2 0 2 9 f 	1059.503073917	0.010005842	10
1 0 0 0 31 e 	1059.557111817	0.000084001	16
0 2 0 0 8 e 	1061.692453739	0.000003997	21
0 2 0 2 10 e 	1063.574001460	0.010006481	12
0 2 0 2 10 f 	1063.574091539	0.010006475	9
0 0 0 0 72 e 	1065.015652924	0.001290471	26
0 2 0 0 9 e 	1065.354995496	0.000004015	30
0 2 0 2 11 e 	1068.052039582	0.010005849	11
0 2 0 2 11 f 	1068.052169732	0.010005842	10
0 2 0 0 10 e 	1069.424458343	0.000003382	27
1 0 0 0 32 e 	1072.495422070	0.000084041	12
0 2 0 2 12 e 	1072.937114076	0.010006505	14
0 2 0 2 12 f 	1072.937296338	0.010006498	11
0 2 0 0 11 e 	1073.900833212	0.000004038	28
0 2 0 2 13 e 	1078.229209061	0.010006515	14
0 2 0 2 13 f 	1078.229457683	0.010006521	11
0 2 0 0 12 e 	1078.784113597	0.000004048	30
0 1 0 1 52 e 	1079.841710981	0.002337256	26
0 1 0 1 52 f 	1080.425431387	0.004340592	16
0 2 0 2 14 e 	1083.928309710	0.010007515	12
0 2 0 2 14 f 	1083.928641326	0.010007522	9
0 2 0 0 13 e 	1084.074282214	0.000004055	27
1 0 0 0 33 e 	1085.837669850	0.000084049	18
0 2 0 0 14 e 	1089.771333764	0.000005055	29
0 2 0 2 15 e 	1090.034397797	0.010008516	10
0 2 0 2 15 f 	1090.034831611	0.010008523	7
0 0 0 0 73 e 	1094.565150231	0.001706147	30
0 2 0 0 15 e 	1095.875254126	0.000005400	28
0 2 0 2 16 e 	1096.561552941	0.010007291	11
0 2 0 2 16 f 	1096.562110924	0.010007285	10
1 0 0 0 34 e 	1099.583820066	0.000084057	13
0 1 0 1 53 e 	1101.344432449	0.002574194	24
0 1 0 1 53 f 	1101.950614095	0.000254862	13
0 2 0 0 16 e 	1102.386029196	0.000005414	24
0 2 0 2 17 e 	1103.487902307	0.010007880	10
0 2 0 2 17 f 	1103.488609386	0.010007874	7
0 2 0 0 17 e 	1109.303646222	0.000004825	26
0 2 0 2 18 e 	1110.815534550	0.010007291	11
0 2 0 2 18 f 	1110.816418789	0.010007285	10
1 0 0 0 35 e 	1113.733846061	0.000077392	18
0 2 0 0 18 e 	1116.628089870	0.000005437	29
0 2 0 2 19 e 	1118.549369307	0.010007904	12
0 2 0 2 19 f 	1118.550462107	0.010007897	9
0 1 0 1 54 e 	1123.251910125	0.001555262	23
0 1 0 1 54 f 	1123.880895413	0.005540592	16
0 2 0 0 19 e 	1124.359343202	0.000005490	25
0 0 0 0 74 e 	1124.517543870	0.001543980	26
0 2 0 2 20 e 	1126.694534733	0.010010626	10
0 2 0 2 20 f 	1126.695871028	0.010010619	8
1 0 0 0 36 e 	1128.287704872	0.000077408	15
0 2 0 0 20 e 	1132.497392230	0.000005517	22
0 2 0 2 21 f 	1135.265077736	0.010011897	6
0 2 0 2 21 e 	1135.297636268	0.010024825	7
0 2 0 0 21 e 	1141.042217041	0.000005539	31
1 0 0 0 37 e 	1143.245353024	0.000077489	17
0 2 0 2 22 e 	1144.258443504	0.010023541	6
0 2 0 2 22 f 	1144.282786046	0.010014619	8
0 1 0 1 55 e 	1145.564152532	0.003774194	20
0 1 0 1 55 f 	1146.216244670	0.001454862	17
0 2 0 0 22 e 	1149.993800555	0.000005573	26
0 2 0 2 23 f 	1153.596409902	0.010015173	9
0 2 0 2 23 e 	1153.613552305	0.010024825	11
0 0 0 0 75 e 	1154.872756631	0.001959656	24
1 0 0 0 38 e 	1158.606766878	0.000077502	15
0 2 0 0 23 e 	1159.352121655	0.000005608	24
0 2 0 2 24 e 	1163.394855158	0.010019541	11
0 2 0 2 24 f 	1163.412899586	0.010015208	9
0 1 0 1 56 e 	1168.280813198	0.000355262	24
0 1 0 1 56 f 	1168.956730623	0.005216863	14
0 2 0 0 24 e 	1169.117162941	0.000005647	29
0 2 0 2 25 e 	1173.557229436	0.010021543	9
0 2 0 2 25 f 	1173.588108905	0.010015247	6
1 0 0 0 39 e 	1174.371893131	0.000077518	15
0 2 0 0 25 e 	1179.288902907	0.000005106	27
0 2 0 2 26 e 	1184.152022515	0.010023541	11
0 2 0 2 26 f 	1184.169480233	0.010015371	12
0 0 0 0 76 e 	1185.630709901	0.001797488	22
0 2 0 0 26 e 	1189.867317696	0.000005722	25
1 0 0 0 40 e 	1190.540684815	0.000077554	13
0 1 0 1 57 e 	1191.401667258	0.002755395	21
0 1 0 1 57 f 	1192.102009278	0.004654862	18
0 2 0 2 27 e 	1195.142875980	0.010021543	9
0 2 0 2 27 f 	1195.158434569	0.010018920	9
0 2 0 0 27 e 	1200.852386618	0.000005771	25
0 2 0 2 28 e 	1206.535939140	0.010021320	12
0 2 0 2 28 f 	1206.553549827	0.010015371	10
1 0 0 0 41 e 	1207.113116234	0.000457637	14
0 2 0 0 28 e 	1212.244085507	0.000005834	28
0 1 0 1 58 e 	1214.929244690	0.001555262	17
0 1 0 1 58 f 	1215.652297820	0.000416863	11
0 0 0 0 77 e 	1216.791325830	0.002226507	20
0 2 0 2 29 e 	1218.347346649	0.010021946	10
0 2 0 2 29 f 	1218.356574959	0.010014920	8
0 2 0 0 29 e 	1224.042389044	0.000005889	30
1 0 0 0 42 e 	1224.089130048	0.000457601	14
0 2 0 2 30 e 	1230.547263202	0.010017986	9
0 2 0 2 30 f 	1230.564371651	0.010018706	7
0 2 0 0 30 e 	1236.247273597	0.000005320	24
0 1 0 1 59 e 	1238.859300749	0.001555395	17
0 1 0 1 59 f 	1239.607278171	0.000416970	10
1 0 0 0 43 e 	1241.468686337	0.000145626	12
0 2 0 2 31 e 	1243.170285307	0.010017342	12
0 2 0 2 31 f 	1243.178961506	0.010014920	8
0 0 0 0 78 e 	1248.354522473	0.002064340	16
0 2 0 0 31 e 	1248.858711357	0.000005946	30
0 2 0 2 32 e 	1256.183929111	0.010017986	6
0 2 0 2 32 f 	1256.202233553	0.010022706	6
1 0 0 0 44 e 	1259.251745467	0.000517256	14
0 2 0 0 32 e 	1261.876676325	0.000005986	25
0 1 0 1 60 e 	1263.193692277	0.001555528	17
0 1 0 1 60 f 	1263.967012596	0.000417083	11
0 2 0 2 33 e 	1269.619697755	0.010017342	7
0 2 0 2 33 f 	1269.630205553	0.010018920	8
0 2 0 0 33 e 	1275.301140278	0.000005342	32
1 0 0 0 45 e 	1277.438253088	0.000190640	10
0 0 0 0 79 e 	1280.320217903	0.002439988	14
0 2 0 2 34 e 	1283.446617225	0.010018023	11
0 2 0 2 34 f 	1283.465430685	0.010023670	7
0 1 0 1 61 e 	1287.932355472	0.001555635	20
0 1 0 1 61 f 	1288.731437249	0.000417183	14
0 2 0 0 34 e 	1289.132075415	0.000006001	30
1 0 0 0 46 e 	1296.028159520	0.000199313	11
0 2 0 2 35 e 	1297.693660605	0.010018008	10
0 2 0 2 35 f 	1297.707222790	0.010022255	7
0 2 0 0 35 e 	1303.369450212	0.000006008	30
0 2 0 2 36 e 	1312.333731654	0.010018023	8
0 2 0 2 36 f 	1312.354848981	0.010015670	8
0 0 0 0 80 e 	1312.688333077	0.002558014	15
0 1 0 1 62 e 	1313.075226388	0.001555728	19
0 1 0 1 62 f 	1313.900486776	0.000417310	14
1 0 0 0 47 e 	1315.021424543	0.002117256	13
0 2 0 0 36 e 	1318.013235817	0.000006023	27
0 2 0 2 37 e 	1327.393239530	0.010021342	8
0 2 0 2 37 f 	1327.409915394	0.011227440	6
0 2 0 0 37 e 	1333.063399950	0.000006070	25
1 0 0 0 48 e 	1334.418012245	0.000199313	16
0 1 0 1 63 e 	1338.622238882	0.001555835	14
0 1 0 1 63 f 	1339.474096743	0.000417390	10
0 2 0 2 38 e 	1342.854408908	0.010019006	5
0 2 0 2 38 f 	1342.869848811	0.010015670	5
0 0 0 0 81 e 	1345.458781403	0.002443190	16
0 2 0 0 38 e 	1348.519911204	0.000006079	20
1 0 0 0 49 e 	1354.217803795	0.000201314	12
0 2 0 2 39 e 	1358.716605700	0.010024105	5
0 2 0 2 39 f 	1358.737615394	0.010027440	5
0 2 0 0 39 e 	1364.382735872	0.000006105	27
0 1 0 1 64 e 	1364.573914949	0.002449561	13
0 1 0 1 64 f 	1365.452209510	0.000497450	8
1 1 0 1 1 e 	1372.864329680	0.000813472	7
1 1 0 1 1 f 	1372.864716302	0.003885106	7
1 1 0 1 2 e 	1373.674517165	0.000546620	11
1 1 0 1 2 f 	1373.675813528	0.003618255	11
1 0 0 0 50 e 	1374.420830313	0.000209987	14
1 1 0 1 3 e 	1374.889770894	0.000279769	9
1 1 0 1 3 f 	1374.892437530	0.003351403	6
0 2 0 2 40 e 	1374.989823936	0.010023006	9
0 2 0 2 40 f 	1375.010352312	0.010019670	4
1 1 0 1 4 e 	1376.510102847	0.000276434	8
1 1 0 1 4 f 	1376.514597485	0.003348068	8
1 1 0 1 5 e 	1378.535510370	0.000273098	7
