0 0 0 0 5 e 	0.00000000	0.00000000	2
0 0 0 0 6 e 	2.36730277	0.00300067	1
0 0 0 0 7 e 	5.19810000	0.00300000	3
0 0 0 0 8 e 	8.44250764	0.00900067	2
0 0 0 0 9 e 	11.99560000	0.00600000	4
0 0 0 0 10 e 	16.03950764	0.00600067	3
0 0 0 0 11 e 	20.39219999	0.00900000	2
0 0 0 0 12 e 	23.11943806	0.01600067	1
0 0 0 0 13 e 	28.25349997	0.01300000	3
0 0 0 0 14 e 	33.91473806	0.01300067	3
0 0 0 0 15 e 	39.98027453	0.01300133	4
0 0 0 0 17 e 	53.17397453	0.01600133	1
1 0 0 0 15 e 	894.30450507	0.01433559	1
2 0 0 0 6 e 	1704.16638033	0.00053370	1
2 0 0 0 10 e 	1717.69735585	0.00646699	1
2 0 0 0 16 e 	1747.91166619	0.01366846	2
0 0 0 2 6 e 	3999.18800000	0.00200000	2
0 0 0 2 7 e 	4002.00070764	0.01000067	1
0 0 0 2 8 e 	4005.11760000	0.00500000	2
0 0 0 2 9 e 	4008.72080764	0.00700067	2
0 0 0 2 10 e 	4012.62819999	0.00800000	2
0 0 0 2 11 e 	4017.02190764	0.00800067	1
0 0 0 2 12 e 	4021.71979998	0.01100000	3
0 0 0 2 13 e 	4024.78763806	0.01400067	2
0 0 0 2 14 e 	4030.38967453	0.01400133	1
0 0 0 2 16 e 	4042.64287453	0.01500133	2

