4502.612518 0.008 3 4 0 0 44 e  0 0 0 0 44 e  76FaVa.53
478872.249 0.011 0 0 0 0 42 e  0 0 0 0 41 e  81BuVaKa.11
490257.399 0.011 0 0 0 0 43 e  0 0 0 0 42 e  81BuVaKa.12
501641.387 0.011 0 0 0 0 44 e  0 0 0 0 43 e  81BuVaKa.13

12. component
2018.948056 0.011 0 0 1 0 78 e  0 0 0 0 78 e  76FaVa.6
3045.691939 0.013 0 2 1 0 78 e  0 0 0 0 78 e  76FaVa.23
2850.309277 0.008 1 0 1 0 78 e  0 0 0 0 78 e  76FaVa.24
4015.991756 0.007 0 0 2 0 78 e  0 0 0 0 78 e  76FaVa.41
3863.871448 0.007 1 2 1 0 78 e  0 0 0 0 78 e  76FaVa.42

22. component
4834.668869 0.008 1 1 2 1 42 f  0 1 0 1 42 f  76FaVa.122
479481.101 0.022 0 1 0 1 42 e  0 1 0 1 41 e  81BuVaKa.24
479954.925 0.022 0 1 0 1 42 f  0 1 0 1 41 f  81BuVaKa.33
10197.81 0.07 0 1 0 1 42 f  0 1 0 1 42 e  73MaJo.4

3. component
2007.145129 0.0000334 0 3 1 1 3 e  0 3 0 1 2 e  92MaLaFa.08
22902.513 0.1 0 3 0 1 2 e  0 3 0 1 1 e  82KiMi.11
22902.513 0.1 0 3 0 1 2 e  0 3 0 1 1 e  82KiMi.14
22902.513 0.1 0 3 0 1 2 e  0 3 0 1 1 e  82KiMi.17
22902.513 0.03 0 3 0 1 2 e  0 3 0 1 1 e  73MaJo.39
34353.748 0.04 0 3 0 1 3 e  0 3 0 1 2 e  73MaJo.41
34353.748 0.1 0 3 0 1 3 e  0 3 0 1 2 e  82KiMi.31

4. component
2007.145129 0.0000334 0 3 1 1 3 f  0 3 0 1 2 f  92MaLaFa.09
22946.543 0.1 0 3 0 1 2 f  0 3 0 1 1 f  82KiMi.10
22946.541 0.1 0 3 0 1 2 f  0 3 0 1 1 f  82KiMi.13
22946.541 0.1 0 3 0 1 2 f  0 3 0 1 1 f  82KiMi.19
22946.543 0.04 0 3 0 1 2 f  0 3 0 1 1 f  73MaJo.32
34419.83 0.15 0 3 0 1 3 f  0 3 0 1 2 f  73MaJo.34
34419.83 0.1 0 3 0 1 3 f  0 3 0 1 2 f  82KiMi.32

25. component
502278.795 0.022 0 1 0 1 44 e  0 1 0 1 43 e  81BuVaKa.25
502775.011 0.022 0 1 0 1 44 f  0 1 0 1 43 f  81BuVaKa.34
11179.1 0.1 0 1 0 1 44 f  0 1 0 1 44 e  73MaJo.5

24. component
3045.402319 0.012 0 3 1 1 65 e  0 1 0 1 65 e  76FaVa.143
2839.563895 0.01 1 1 1 1 65 e  0 1 0 1 65 e  76FaVa.144
3858.117154 0.007 1 3 1 1 65 e  0 1 0 1 65 e  76FaVa.148

18. component
830.453121 0.004 1 1 0 1 39 f  0 1 0 1 39 f  80BlDeWa.3
830.432867 0.039 1 1 0 1 39 e  0 1 0 1 39 e  80BlDeWa.8
8810 0.07 0 1 0 1 39 f  0 1 0 1 39 e  73MaJo.2

40. component
22835.26 0.1 1 2 0 0 2 e  1 2 0 0 1 e  82KiMi.18
22835.26 0.1 1 2 0 0 2 e  1 2 0 0 1 e  73MaJo.22
34252.84 0.07 1 2 0 0 3 e  1 2 0 0 2 e  73MaJo.24
34252.84 0.1 1 2 0 0 3 e  1 2 0 0 2 e  82KiMi.35

6. component
836.081952 0.000067 1 0 0 0 59 e  0 0 0 0 59 e  81WePeMa.2
2022.012929 0.0003 0 0 1 0 59 e  0 0 0 0 59 e  85HuFoJo.4

39. component
22688.524 0.1 2 0 0 0 2 e  2 0 0 0 1 e  82KiMi.12
22688.524 0.1 2 0 0 0 2 e  2 0 0 0 1 e  82KiMi.24
22688.524 0.04 2 0 0 0 2 e  2 0 0 0 1 e  73MaJo.23
