1. component   nbEL= 5767  nbTR= 13098
11. component   nbEL= 14  nbTR= 17
9. component   nbEL= 9  nbTR= 9
6. component   nbEL= 8  nbTR= 7
7. component   nbEL= 8  nbTR= 7
73. component   nbEL= 7  nbTR= 6
8. component   nbEL= 7  nbTR= 7
112. component   nbEL= 6  nbTR= 5
5. component   nbEL= 6  nbTR= 5
26. component   nbEL= 6  nbTR= 7
16. component   nbEL= 6  nbTR= 5
60. component   nbEL= 5  nbTR= 4
25. component   nbEL= 5  nbTR= 6
59. component   nbEL= 4  nbTR= 3
15. component   nbEL= 4  nbTR= 3
114. component   nbEL= 4  nbTR= 3
56. component   nbEL= 4  nbTR= 3
57. component   nbEL= 4  nbTR= 3
58. component   nbEL= 4  nbTR= 3
4. component   nbEL= 4  nbTR= 3
61. component   nbEL= 4  nbTR= 3
62. component   nbEL= 4  nbTR= 3
39. component   nbEL= 4  nbTR= 3
3. component   nbEL= 4  nbTR= 3
12. component   nbEL= 4  nbTR= 3
76. component   nbEL= 3  nbTR= 2
27. component   nbEL= 3  nbTR= 2
80. component   nbEL= 3  nbTR= 2
29. component   nbEL= 3  nbTR= 2
30. component   nbEL= 3  nbTR= 2
31. component   nbEL= 3  nbTR= 3
32. component   nbEL= 3  nbTR= 3
33. component   nbEL= 3  nbTR= 2
34. component   nbEL= 3  nbTR= 2
71. component   nbEL= 3  nbTR= 2
67. component   nbEL= 3  nbTR= 2
37. component   nbEL= 3  nbTR= 2
38. component   nbEL= 3  nbTR= 2
83. component   nbEL= 3  nbTR= 2
63. component   nbEL= 3  nbTR= 2
41. component   nbEL= 3  nbTR= 2
91. component   nbEL= 3  nbTR= 2
92. component   nbEL= 3  nbTR= 2
107. component   nbEL= 3  nbTR= 2
108. component   nbEL= 3  nbTR= 2
109. component   nbEL= 3  nbTR= 2
113. component   nbEL= 3  nbTR= 2
54. component   nbEL= 3  nbTR= 2
53. component   nbEL= 3  nbTR= 2
50. component   nbEL= 2  nbTR= 1
51. component   nbEL= 2  nbTR= 1
52. component   nbEL= 2  nbTR= 1
49. component   nbEL= 2  nbTR= 1
48. component   nbEL= 2  nbTR= 1
55. component   nbEL= 2  nbTR= 1
47. component   nbEL= 2  nbTR= 1
46. component   nbEL= 2  nbTR= 1
45. component   nbEL= 2  nbTR= 1
14. component   nbEL= 2  nbTR= 1
44. component   nbEL= 2  nbTR= 1
43. component   nbEL= 2  nbTR= 1
42. component   nbEL= 2  nbTR= 1
40. component   nbEL= 2  nbTR= 1
64. component   nbEL= 2  nbTR= 1
65. component   nbEL= 2  nbTR= 1
66. component   nbEL= 2  nbTR= 1
36. component   nbEL= 2  nbTR= 1
68. component   nbEL= 2  nbTR= 1
69. component   nbEL= 2  nbTR= 1
70. component   nbEL= 2  nbTR= 1
35. component   nbEL= 2  nbTR= 1
72. component   nbEL= 2  nbTR= 1
28. component   nbEL= 2  nbTR= 1
74. component   nbEL= 2  nbTR= 1
75. component   nbEL= 2  nbTR= 1
10. component   nbEL= 2  nbTR= 1
77. component   nbEL= 2  nbTR= 1
78. component   nbEL= 2  nbTR= 1
79. component   nbEL= 2  nbTR= 1
24. component   nbEL= 2  nbTR= 1
81. component   nbEL= 2  nbTR= 1
82. component   nbEL= 2  nbTR= 1
23. component   nbEL= 2  nbTR= 1
84. component   nbEL= 2  nbTR= 1
85. component   nbEL= 2  nbTR= 1
86. component   nbEL= 2  nbTR= 1
87. component   nbEL= 2  nbTR= 1
88. component   nbEL= 2  nbTR= 1
89. component   nbEL= 2  nbTR= 1
90. component   nbEL= 2  nbTR= 1
22. component   nbEL= 2  nbTR= 1
21. component   nbEL= 2  nbTR= 1
93. component   nbEL= 2  nbTR= 1
94. component   nbEL= 2  nbTR= 1
95. component   nbEL= 2  nbTR= 1
